id_janela,acel_x_g,acel_y_g,acel_z_g,magnitude_media_g,magnitude_desvio_g,giro_x_dps,giro_y_dps,giro_z_dps,giro_rms_dps,jerk_max_g_s,postura
123,0.1343,1.0164,-0.0357,1.0259,0.2203,11.78,6.37,20,39.69,3.96,caminhando
124,0.0141,1.0291,0.0815,1.0324,0.0163,-0.87,1.45,-1.74,2.55,0.696,em_pe
125,0.0491,0.9597,0.0293,0.9614,0.0368,-0.86,7.64,-0.92,7.13,0.381,em_pe
126,0.3479,0.9239,0.0319,0.9878,0.0349,-0.37,0.5,0.31,0.88,0.571,sentado
127,0.3673,0.979,-0.0023,1.0457,0.0526,1.38,-0.57,-0.17,1.35,0.511,sentado
128,0.0019,1.0196,0.0593,1.0213,0.2506,-3.04,1.56,40.43,35.94,6.839,caminhando
129,0.2806,0.9119,0.1747,0.97,0.0463,-1.99,2.11,-0.87,5.38,0.196,sentado
130,0.257,0.9324,0.0411,0.9681,0.029,1.89,-2.42,1.87,2.27,0.579,sentado
131,0.0318,0.9305,0.067,0.9334,0.0323,-0.85,3.34,0.94,3.24,0.678,em_pe
132,0.3051,1.0862,0.018,1.1284,0.1763,-10,32.11,-21.17,28.16,5.629,caminhando
133,0.4481,1.3592,-0.1124,1.4355,0.2429,-0.98,2.27,8.54,8.62,6.789,caminhando
134,0.0707,0.964,0.0025,0.9666,0.0125,-0.28,-0.63,-1.06,3.27,0.538,em_pe
135,0.013,0.9702,0.0525,0.9717,0.0423,-0.29,-0.16,-1.27,3.1,0.772,em_pe
136,0.052,0.1013,0.9115,0.9186,0.0104,-0.32,-3.05,-2.82,2.81,0.24,deitado
137,0.3084,0.9223,0.0325,0.973,0.0106,0.67,-2.86,2.2,2.66,0.147,sentado
138,0.0409,0.0327,0.8961,0.8976,0.0062,-0.57,-1.62,-0.13,1.65,0.221,deitado
139,0.1312,1.1192,0.2572,1.1558,0.2985,-0.38,18.83,-0.99,30.92,6.733,caminhando
140,0.1467,0.9166,-0.0032,0.9283,0.0413,0.23,-0.51,-0.78,2.22,0.21,sentado
141,0.3886,0.9678,0.085,1.0464,0.0425,-4.36,0.7,-2.12,3.85,0.718,sentado
142,-0.0257,0.0422,0.9899,0.9911,0.0128,0.72,0.21,-1.25,1.59,0.261,deitado
143,0.3347,0.8378,0.0448,0.9033,0.0228,1.54,-0.05,0.57,1.99,0.559,sentado
144,0.0908,0.1234,0.9088,0.9216,0.024,-0.43,-0.54,-1.39,2.15,0.411,deitado
145,0.0492,0.1168,0.537,0.5517,0.6119,176,-271,-102.43,253.41,25.319,queda
146,0.4031,0.8874,0.017,0.9748,0.0241,0.75,0.71,-0.6,1.15,0.349,sentado
147,-0.0467,1.105,0.1131,1.1118,0.3477,13.34,1.53,-8.59,33.99,9.63,caminhando
148,-0.0262,1.2714,0.0355,1.2722,0.2957,-14.18,1.22,-3.19,31.62,9.327,caminhando
149,0.0323,0.2019,1.0396,1.0596,0.0185,-1.9,-0.22,-0.88,2.63,0.192,deitado
150,0.148,0.9016,0.0454,0.9148,0.0235,0.36,-1.45,2.06,3.7,0.264,sentado
151,0.0091,1.0234,0.4114,1.103,0.2559,-9.88,3.53,6.75,34.22,5.644,caminhando
152,0.0353,1.0335,-0.0194,1.0343,0.015,-0.73,-0.8,3.9,3.75,0.908,em_pe
153,0.5062,1.2385,0.1766,1.3496,0.2609,-0.83,4.77,9.08,15.59,5.245,caminhando
154,0.2615,0.8724,0.0289,0.9112,0.0251,1.64,2.57,-1.44,2.71,0.633,sentado
155,0.261,0.8157,0.1476,0.8691,0.0552,1.65,-1.38,-0.89,3.52,0.366,sentado
156,0.476,0.2007,1.234,1.3378,0.9722,33.3,-40.12,-59.68,172.48,16.706,queda
157,-0.0333,0.9681,0.079,0.9719,0.0234,0.37,0.7,-2.9,4.19,0.359,em_pe
158,-0.0158,-0.0009,1.0302,1.0303,0.0202,-0.85,1.22,0.3,2.21,0.394,deitado
159,0.4567,0.8352,-0.0268,0.9523,0.0294,1.5,0.78,0.32,1.08,0.459,sentado
160,-0.0022,0.9526,0.0147,0.9527,0.0249,2.33,-5.26,-1.41,5.27,0.589,em_pe
161,0.0004,1.0198,0.0282,1.0202,0.0377,3.05,5.86,0.9,5.12,0.258,em_pe
162,-0.0318,0.9486,-0.0161,0.9492,0.0317,-0.29,-1.63,0.61,2.65,0.718,em_pe
163,-0.0282,1.0563,0.029,1.0571,0.04,-4.09,-2.62,-0.2,4.65,0.717,em_pe
164,0.0989,0.0591,1.0624,1.0686,0.0199,-0.22,0.16,-0.1,0.22,0.341,deitado
165,0.081,0.3746,0.8414,0.9246,0.893,20.04,-224.03,51.6,199.53,29.84,queda
166,0.3688,0.9831,-0.0178,1.0502,0.0242,-0.26,0.12,-0.52,0.97,0.478,sentado
167,0.0265,0.9762,0.0492,0.9778,0.0333,-1.14,1.03,0.43,2.07,0.618,em_pe
168,0.2856,0.85,0.1306,0.9062,0.0269,-1.81,-2.96,0.61,3.11,0.429,sentado
169,0.2316,1.1965,-0.002,1.2187,0.2992,-29.13,-2.16,-1.65,75.22,4.081,caminhando
170,0.3589,0.8911,0.0693,0.9632,0.0182,-0.13,1.77,0.34,1.63,0.429,sentado
171,-0.1199,0.9295,0.3493,1.0001,0.2239,7.07,-36.42,-4.99,47.31,3.55,caminhando
172,0.0044,0.9651,-0.0182,0.9653,0.023,2.24,0.97,-2.79,2.25,0.554,em_pe
173,0.1844,0.9176,0.425,1.0279,0.2729,20.96,-66.64,-14.8,56.11,4.858,caminhando
174,0.0009,0.9762,0.0748,0.979,0.0202,0.58,-1.08,2.06,4.4,0.311,em_pe
175,0.4333,0.9109,0.0824,1.0121,0.0232,0.98,-0.08,-0.07,2.97,0.464,sentado
176,-0.0218,0.9395,0.0877,0.9438,0.0298,-0.23,1.37,1.62,2.92,0.024,em_pe
177,0.2686,0.8714,0.1064,0.918,0.0206,0.02,0.65,0.27,0.86,0.547,sentado
178,0.0894,0.0292,0.8689,0.874,0.0184,-0.88,2.88,-2.24,2.62,0.282,deitado
179,-0.2305,1.0739,0.191,1.1149,0.1652,-16.77,3.9,-2.99,28.85,4.079,caminhando
180,0.0519,0.7409,0.0127,0.7428,0.243,-2.67,28.15,-15.37,46.18,3.806,caminhando
181,0.0358,0.9721,-0.0086,0.9728,0.0431,-1.12,0.63,-0.45,3.33,0.505,em_pe
182,0.0718,0.0344,1.0358,1.0388,0.027,0.05,1.83,-0.56,2.17,0.477,deitado
183,-0.0747,0.9202,0.0111,0.9233,0.0362,3.2,2.7,1.88,4.96,0.243,em_pe
184,-0.0355,0.9361,-0.0092,0.9368,0.0371,2.2,2.94,0.07,7.34,0.52,em_pe
185,0.0159,0.9158,0.0715,0.9187,0.0356,-4.91,-3.88,3.38,4.54,0.679,em_pe
186,0.1052,0.1365,0.9584,0.9738,0.0185,-0.01,0.04,-0.1,0.1,0.209,deitado
187,0.3761,1.2216,-0.0326,1.2786,0.3561,6.23,-7.52,8.78,35.66,5.183,caminhando
188,-0.0347,0.0196,1.0111,1.0119,0.0214,-1.43,-0.26,-0.17,2.01,0.415,deitado
189,0.4324,0.4472,-0.3466,0.7121,1.0989,79.82,-4.26,2.45,197.64,25.762,queda
190,-0.0095,-0.3861,0.5534,0.6748,0.529,30.62,-27.06,187.22,142.61,10.353,queda
191,0.0661,0.9079,0.0454,0.9114,0.0437,-0.16,1.15,1.55,3.47,0.387,em_pe
192,0.0265,1.2029,0.0894,1.2066,0.2935,33.65,-15.3,-3.86,38.78,4.695,caminhando
193,0.1064,-0.0158,0.9522,0.9583,0.0096,0.03,-0.06,0.1,0.1,0.474,deitado
194,-0.2252,0.8006,0.114,0.8394,0.1697,11.87,-10.26,-16.4,37.25,7.257,caminhando
195,0.3371,0.8864,0.0243,0.9487,0.0297,-3.86,4.44,0.88,4.04,0.216,sentado
196,0.4077,0.1877,-0.217,0.4985,0.4475,-245.38,104.65,-29.66,252.97,27.106,queda
197,0.0382,0.0214,0.8865,0.8876,0.0144,1.21,1.39,2.19,2.47,0.239,deitado
198,-0.0137,0.9814,-0.0065,0.9816,0.0373,1.72,1.52,1.46,2.77,0.78,em_pe
199,1.0181,0.5011,0.7855,1.3801,1.1168,45.99,140.02,38.52,124.94,30.431,queda
200,0.017,0.9735,0.2235,0.999,0.1985,2.16,-3.87,22.2,64.98,4.895,caminhando
201,0.4302,1.0072,0.0987,1.0997,0.1566,10.76,20.99,18.45,48.42,3.014,caminhando
202,-0.0106,0.9441,0.0062,0.9442,0.0211,-6.51,-3.49,-0.31,5.16,0.456,em_pe
203,-0.0367,0.9861,-0.0536,0.9882,0.0337,-0.89,-1.3,-0.67,1.91,0.332,em_pe
204,-0.0929,1.0097,0.1766,1.0293,0.2924,5.96,12.71,-3.65,26.7,6.55,caminhando
205,0.3487,0.9469,0.0486,1.0103,0.0325,3.22,0.31,-1.21,3.38,0.257,sentado
206,0.3507,0.9078,0.0606,0.9751,0.0252,1.5,0.67,-1.21,2.69,0.39,sentado
207,0.0707,0.9527,0.0532,0.9568,0.0328,-1.14,-0.41,-0.35,4.83,0.501,em_pe
208,0.174,0.0444,0.913,0.9305,0.0229,-2.32,3.19,0.69,2.82,0.444,deitado
209,0.1844,0.9367,0.1207,0.9623,0.0245,0.83,1.44,-0.94,2.7,0.538,sentado
210,0.1063,0.1673,1.02,1.0391,0.0252,-0.01,-0.58,-1.17,2.46,0.122,deitado
211,0.1242,-0.0036,0.8988,0.9073,0.0189,0.8,-0.49,-0.81,0.89,0.293,deitado
212,0.0897,0.9532,0.0954,0.9621,0.0343,1.59,2.9,3.87,3.47,0.63,em_pe
213,0.107,0.9155,0.1878,0.9407,0.2233,-6.16,-6.24,-17.2,59.64,7.706,caminhando
214,0.0356,-0.0172,0.9733,0.9741,0.0212,-0.21,-1.62,0.03,2.05,0.392,deitado
215,0.2498,0.9291,0.2943,1.0061,0.2118,-22.15,2.03,-23.28,33.87,5.883,caminhando
216,0.2543,0.9109,0.0145,0.9459,0.0314,-0.82,-0.45,-0.1,1.24,0.647,sentado
217,0.384,0.9168,0.0591,0.9957,0.0251,-1.99,-0.6,-3.26,3.39,0.65,sentado
218,0.1197,-0.0056,0.6608,0.6716,1.0514,-17.03,67.8,-56.01,211.27,30.326,queda
219,0.1137,1.0831,0.0829,1.0922,0.2968,-14.83,-79.16,-22.11,52.84,7.21,caminhando
220,0.0558,0.0181,0.8644,0.8664,0.0225,1.61,-0.21,-0.35,1.58,0.285,deitado
221,0.0771,0.8374,0.0676,0.8436,0.2255,-40.64,23.5,-33.86,45.45,4.679,caminhando
222,0.2717,0.8081,-0.0552,0.8543,0.0091,-2.37,-0.44,1.49,1.58,0.478,sentado
223,0.0067,0.5439,1.212,1.3284,0.673,-145.05,242.42,69.45,215.12,22.763,queda
224,0.0043,-0.061,1.0158,1.0176,0.0132,-0.98,0.63,4.77,2.78,0.205,deitado
225,0.1362,0.056,1.0782,1.0883,0.0349,0.99,0.99,-1.2,1.6,0.456,deitado
226,0.0448,0.0316,0.9463,0.9478,0.0192,0,-0.2,0.22,0.68,0.293,deitado
227,-0.0062,1.0522,0.0839,1.0555,0.0355,2.31,-0.38,7.17,5.08,0.406,em_pe
228,0.0094,0.9949,0.0342,0.9955,0.0362,-1.73,1.58,0.13,1.93,0.29,em_pe
229,0.2302,0.286,0.3744,0.5244,0.9391,-136.67,-168.53,-101.6,210.55,27.779,queda
230,0.2476,0.9461,0.0138,0.9781,0.0215,-0.03,0.12,-0.51,0.56,0.275,sentado
231,0.0539,0.0437,0.9877,0.9901,0.0455,0.84,0.58,-2.14,1.52,0.08,deitado
232,0.0927,0.9079,0.0149,0.9127,0.0121,-3.41,-1.83,-5.09,4.27,0.789,em_pe
233,0.3024,0.7497,0.0949,0.814,0.0336,1.44,3.25,0.27,5.97,0.453,sentado
234,0.1022,0.8646,-0.0971,0.8761,0.1003,17.74,30.53,0.33,40.58,4.164,caminhando
235,-0.0325,0.9616,-0.024,0.9625,0.0263,2.77,-0.27,-0.39,3.58,0.4,em_pe
236,0.0534,-0.0662,1.0861,1.0894,0.0092,0.38,-1.29,-0.94,2.4,0.424,deitado
237,0.4103,0.8947,0.1153,0.991,0.022,-1.91,-1.29,1.83,2.97,0.489,sentado
238,0.1211,1.0014,-0.0559,1.0103,0.0448,4.32,-2.53,1.95,3.56,0.149,em_pe
239,-0.0248,0.1348,1.0101,1.0194,0.0168,1.92,-0.81,2.77,2.16,0.243,deitado
240,0.0774,0.1566,0.9474,0.9633,0.0323,-0.09,-0.88,-0.21,1.74,0.212,deitado
241,0.0781,1.3305,0.0933,1.336,0.1864,10.38,4.81,23.86,55.2,5.599,caminhando
242,0.2808,0.9018,0.3331,1.0015,0.1921,-57.55,-0.27,42.26,48.83,6.29,caminhando
243,0.1338,0.1518,0.988,1.0085,0.0297,0.52,-0.53,3.62,2.8,0.148,deitado
244,-0.004,0.9456,0.0058,0.9456,0.0324,2.33,0.05,-0.44,3.66,0.391,em_pe
245,0.0574,1.0267,-0.014,1.0284,0.0499,-3.29,0.01,4.38,4.78,0.687,em_pe
246,-0.1558,0.7558,0.2852,0.8228,0.2095,14.35,-17.8,38.11,65.8,6.716,caminhando
247,0.0999,0.937,0.1182,0.9496,0.0411,0.52,0.43,-0.23,3.18,0.244,em_pe
248,0.0206,0.0589,0.9205,0.9226,0.0186,1.44,0.64,-0.8,3.3,0.431,deitado
249,0.0915,0.0561,0.9448,0.9509,0.0204,-0.13,-1.13,0.96,2.52,0.225,deitado
250,0.2731,0.9067,-0.0009,0.947,0.0217,0.89,1.25,-1.33,2.73,0.606,sentado
251,1.2548,-0.6112,2.0345,2.4673,0.8627,-166.47,4.55,170.88,190.7,41.185,queda
252,-0.0459,1.0413,0.1113,1.0482,0.0351,-1.01,0.82,0.89,2.53,0.246,em_pe
253,0.2466,0.9809,-0.0515,1.0127,0.1827,-27.7,-48.87,21.94,44.57,6.489,caminhando
254,0.1787,0.8391,0.0791,0.8615,0.0139,-1.19,1.3,-2.05,2.46,0.526,sentado
255,-0.2115,0.1567,0.7166,0.7634,0.8818,148.46,-28.46,-84,205.26,29.707,queda
256,0.0613,0.9384,0.0888,0.9446,0.036,1.39,2.21,1.29,4.57,0.416,em_pe
257,-0.0746,0.777,0.2905,0.8329,0.1339,27.04,11.67,-5.75,30.8,6.549,caminhando
258,0.1495,1.1654,0.2882,1.2098,0.3817,-44.34,6.79,23.46,49.07,5.003,caminhando
259,0.1877,0.8676,-0.2165,0.9136,0.2642,-13.52,-55.01,-23.94,56.99,4.797,caminhando
260,0.1005,0.096,0.8965,0.9072,0.0134,0.04,0.03,-0.07,0.11,0.553,deitado
261,-0.0337,0.9756,0.0676,0.9785,0.0238,0.12,-2.14,0.75,2.78,0.231,em_pe
262,0.1142,1.0199,0.318,1.0744,0.2907,-15.82,12.29,30.96,55.5,7.673,caminhando
